tokens,labels
date: 2020-11-19,O
nol,O
##te,O
:,O
top,O
poll,O
##ster,O
finds,O
47,O
%,O
say,O
‘,O
likely,O
‘,O
demo,O
##cra,O
##ts,O
stol,O
##e,O
election,O
via,O
@,O
bre,O
##it,O
##bar,O
##tn,O
##ew,O
##s,O
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-10-25,O
wisconsin,O
!,O
#,O
vote,O
#,O
mag,O
##a,O
,O
,O
date: 2020-11-10,O
“,O
president,O
trump,O
told,O
us,O
for,O
some,O
time,O
we,O
would,O
be,O
getting,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
and,O
people,O
lau,O
##ghe,O
##d,O
at,O
him,O
",",O
and,O
here,O
we,O
are,O
with,O
pfizer,O
getting,O
fda,O
approval,O
by,O
the,O
end,O
of,O
this,O
month,O
.,O
he,O
was,O
right,O
.,O
”,O
@,O
maria,O
##bar,O
##ti,O
##rom,O
##o,O
,O
,O
date: 2020-11-19,O
lawyer,O
##s,O
now,O
on,O
@,O
news,O
##max,O
",",O
@,O
oa,O
##nn,O
&,O
amp,O
;,O
maybe,O
@,O
fox,O
##new,O
##s,O
.,O
an,O
open,O
and,O
shut,O
case,O
of,O
vote,O
##r,O
fraud,O
.,O
massive,O
numbers,O
!,O
,O
,O
date: 2020-11-19,O
the,O
cov,O
##id,O
drugs,O
now,O
available,O
to,O
make,O
people,O
better,O
are,O
amazing,O
",",O
but,O
sel,O
##dom,O
talked,O
about,O
by,O
the,O
media,O
!,O
mortality,O
rate,O
is,O
85,O
%,O
down,O
!,O
,O
,O
date: 2020-11-19,O
vote,O
##r,O
fraud,O
in,O
detroit,O
is,O
ramp,O
##ant,O
",",O
and,O
has,O
been,O
for,O
many,O
years,O
!,O
,O
,O
date: 2020-11-10,O
“,O
only,O
because,O
of,O
president,O
trump,O
",",O
we,O
are,O
going,O
to,O
have,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
.,O
”,O
ron,O
##ny,O
jackson,O
",",O
texas,O
congress,O
##man,O
-,O
elect,O
,O
,O
date: 2020-11-10,O
we,O
are,O
making,O
big,O
progress,O
.,O
results,O
start,O
to,O
come,O
in,O
next,O
week,O
.,O
make,O
america,O
great,O
again,O
!,O
,O
,O
