tokens,labels
date: 2020-03-03,O
i,O
was,O
thrilled,O
to,O
be,O
back,O
in,O
the,O
great,O
city,O
of,O
charlotte,LOC_B
",",O
north,LOC_B
carolina,LOC_I
with,O
thousands,O
of,O
hard,O
##working,O
american,O
patriot,O
##s,O
who,O
love,O
our,O
country,O
",",O
cher,O
##ish,O
our,O
values,O
",",O
respect,O
our,O
laws,O
",",O
and,O
always,O
put,O
america,ORG_B
first,O
!,O
thank,O
you,O
for,O
a,O
wonderful,O
evening,O
!,O
!,O
#,O
ka,O
##g,O
##202,O
##0,O
,O
,O
date: 2020-09-12,O
the,O
unsolicited,O
mail,O
in,O
ball,O
##ot,O
sca,O
##m,O
is,O
a,O
major,O
threat,O
to,O
our,O
demo,O
##cra,O
##cy,O
",",O
&,O
amp,O
;,O
the,O
demo,O
##cra,O
##ts,O
know,O
it,O
.,O
almost,O
all,O
recent,O
elections,O
using,O
this,O
system,O
",",O
even,O
though,O
much,O
smaller,O
&,O
amp,O
;,O
with,O
far,O
fewer,O
ball,O
##ot,O
##s,O
to,O
count,O
",",O
have,O
ended,O
up,O
being,O
a,O
disaster,O
.,O
large,O
numbers,O
of,O
missing,O
ball,O
##ot,O
##s,O
&,O
amp,O
;,O
fraud,O
!,O
,O
,O
date: 2020-02-01,O
getting,O
a,O
little,O
exercise,O
this,O
morning,O
!,O
,O
,O
date: 2020-01-09,O
thank,O
you,O
eli,PER_B
##se,PER_I
!,O
,O
,O
date: 2020-10-23,O
as,O
per,O
your,O
request,O
",",O
joe,PER_B
.,O
.,O
.,O
,O
,O
date: 2020-11-09,O
the,O
threshold,O
identification,O
of,O
ball,O
##ot,O
##s,O
is,O
turning,O
out,O
to,O
be,O
even,O
bigger,O
than,O
originally,O
anticipated,O
.,O
a,O
very,O
large,O
number,O
of,O
ball,O
##ot,O
##s,O
are,O
impacted,O
.,O
stay,O
tune,O
##d,O
!,O
,O
,O
date: 2020-10-12,O
“,O
i,O
’,O
m,O
running,O
as,O
a,O
proud,O
demo,O
##cra,O
##t,O
",",O
for,O
the,O
senate,ORG_B
”,O
.,O
sleep,O
##y,O
joe,PER_B
bid,PER_I
##en,PER_I
today,O
.,O
it,O
’,O
s,O
only,O
going,O
to,O
get,O
worse,O
.,O
it,O
is,O
not,O
sustainable,O
for,O
our,O
