tokens,labels
date: 2017-07-29,O
"""",O
i,O
love,O
reading,O
about,O
all,O
of,O
the,O
"""",O
"""",O
geni,O
##use,O
##s,O
"""",O
"""",O
who,O
were,O
so,O
instrumental,O
in,O
my,O
election,O
success,O
.,O
problem,O
is,O
",",O
most,O
don,O
',O
t,O
exist,O
.,O
#,O
fa,O
##ke,O
news,O
!,O
mag,O
##a,O
"""",O
,O
,O
date: 2019-09-30,O
.,O
.,O
.,O
.,O
election,O
",",O
and,O
neg,O
##ate,O
the,O
votes,O
of,O
millions,O
of,O
evan,O
##gel,O
##ical,O
##s,O
in,O
the,O
process,O
.,O
they,O
know,O
the,O
only,O
impe,O
##ach,O
##able,O
offens,O
##e,O
that,O
president,O
trump,O
has,O
committed,O
was,O
beating,O
hill,O
##ary,O
clint,O
##on,O
in,O
2016,O
.,O
that,O
’,O
s,O
the,O
unpa,O
##rd,O
##ona,O
##ble,O
sin,O
for,O
which,O
the,O
demo,O
##cra,O
##ts,O
will,O
never,O
forgive,O
him,O
.,O
.,O
.,O
.,O
.,O
,O
,O
date: 2017-01-04,O
thank,O
you,O
to,O
ford,O
for,O
scrapp,O
##ing,O
a,O
new,O
plant,O
in,O
mexico,O
and,O
creating,O
700,O
new,O
jobs,O
in,O
the,O
u,O
.,O
s,O
.,O
this,O
is,O
just,O
the,O
beginning,O
-,O
much,O
more,O
to,O
follow,O
,O
,O
date: 2020-06-09,O
relief,O
is,O
on,O
the,O
way,O
to,O
utah,O
!,O
i,O
’,O
m,O
proud,O
to,O
send,O
$,O
187,O
.,O
18,O
##m,O
in,O
care,O
##s,O
act,O
funding,O
to,O
@,O
ride,O
##uta,O
.,O
this,O
money,O
will,O
keep,O
people,O
moving,O
and,O
support,O
a,O
swift,O
and,O
smooth,O
economic,O
recovery,O
for,O
the,O
great,O
people,O
of,O
utah,O
!,O
,O
,O
date: 2020-11-22,O
thank,O
you,O
!,O
,O
,O
date: 2017-09-26,O
but,O
while,O
dallas,O
dropped,O
to,O
its,O
knees,O
as,O
a,O
team,O
",",O
they,O
all,O
stood,O
up,O
for,O
our,O
national,O
anthem,O
.,O
big,O
progress,O
being,O
made,O
-,O
we,O
all,O
love,O
our,O
country,O
!,O
,O
,O
date: 2019-12-15,O
incredible,O
young,O
",",O
strong,O
and,O
bri,O
##lli,O
##ant,O
people,O
.,O
army,O
/,O
navy,O
!,O
,O
,O
date: 2019-05-23,O
when,O
the,O
demo,O
##cra,O
##ts,O
in,O
congress,O
refi,O
##nish,O
",",O
for,O
the,O
5th,O
time,O
",",O
their,O
fa,O
##ke,O
work,O
on,O
their,O
very,O
disappointing,O
mueller,O
report,O
finding,O
",",O
they,O
will,O
have,O
the,O
time,O
to,O
get,O
the,O
real,O
work,O
of,O
the,O
people,O
done,O
.,O
move,O
quickly,O
!,O
,O
,O
date: 2019-11-17,O
tell,O
jennifer,O
williams,O
",",O
who,O
##ever,O
that,O
is,O
",",O
to,O
read,O
both,O
transcript,O
##s,O
of,O
the,O
presidential,O
calls,O
",",O
&,O
amp,O
",",O
see,O
the,O
just,O
released,O
st,O
##ste,O
##ment,O
from,O
ukraine,O
.,O
then,O
she,O
should,O
meet,O
with,O
the,O
other,O
never,O
trump,O
##ers,O
",",O
who,O
i,O
don,O
’,O
t,O
know,O
&,O
amp,O
",",O
mostly,O
never,O
even,O
heard,O
of,O
",",O
&,O
amp,O
",",O
work,O
out,O
a,O
better,O
presidential,O
attack,O
!,O
,O
,O
date: 2019-10-29,O
correct,O
",",O
a,O
total,O
sca,O
##m,O
!,O
,O
,O
date: 2018-04-30,O
headline,O
:,O
“,O
kim,O
prepared,O
to,O
cede,O
nuclear,O
weapons,O
if,O
u,O
.,O
s,O
.,O
pledge,O
##s,O
not,O
to,O
inva,O
##de,O
”,O
-,O
from,O
the,O
failing,O
new,O
york,O
times,O
.,O
also,O
",",O
will,O
shut,O
down,O
nuclear,O
test,O
site,O
in,O
may,O
.,O
,O
,O
date: 2019-09-16,O
.,O
.,O
.,O
.,O
work,O
that,O
way,O
.,O
i,O
have,O
a,O
better,O
idea,O
.,O
look,O
at,O
the,O
obama,O
book,O
deal,O
",",O
or,O
the,O
rid,O
##icul,O
##ous,O
netflix,O
deal,O
.,O
then,O
look,O
at,O
all,O
the,O
deals,O
made,O
by,O
the,O
dem,O
##s,O
in,O
congress,O
",",O
the,O
“,O
congressional,O
slu,O
##sh,O
fund,O
",",O
”,O
and,O
