Ticker,Company,Aliases
MMM,3M,"['Minnesota Mining and Manufacturing', 'Minnesota Mining & Mfg. Co.', 'Minnesota Mining and Manufacturing Company', '3M corporation', '3M Company', '3M']"
AOS,A. O. Smith,"['A. O. Smith Corporation', 'A.O. Smith', 'A.O. Smith Corporation', 'A O Smith']"
ABT,Abbott Laboratories,"['Abbott Labs', 'Abbott Laboratories, Inc.', 'Ross Laboratories', 'Abbott Pharmaceuticals', 'Abbott Nutrition', 'I-Stat', 'I-STAT', 'Abbott Molecular', 'Isomil', 'Abbot Laboratories', 'Abbott', 'Abbott Laboratories']"
ABBV,AbbVie,"['AbbVie Inc.', 'ABBV', 'AbbVie']"
ACN,Accenture,"['Accenture Global Solutions Limited (Dublin)', 'Accenture (Dublin)', 'Accenture PLC', 'Accenture']"
ADBE,Adobe Inc.,"['Adobe Systems', 'Adobe Systems, Inc.', 'Adobe Systems Software(Beijing)Co.,Ltd.', 'ADBE', 'ADOBE INC. (San Jose, CA)', 'adobe.com', 'Adobe Inc.', 'Adobe Systems Incorporated', 'Adobe']"
AMD,Advanced Micro Devices,['Advanced Micro Devices']
AES,AES Corporation,"['AES Corp.', 'The AES Corporation', 'AES Corp', 'AES Trust III', 'Arlington Energy', 'AES']"
AFL,Aflac,"['American Family Life Assurance Company', 'Aflac']"
A,Agilent Technologies,"['Agilent Technologies, Inc.', 'Agilent Technologies']"
APD,Air Products,['Air Products']
ABNB,Airbnb,"['Airbnb, Inc.', 'airbnb.com', 'Airbnb']"
AKAM,Akamai Technologies,"['Akamai Technologies, Inc.', 'Akamai', 'Akamai Technologies']"
ALB,Albemarle Corporation,['Albemarle']
ARE,Alexandria Real Estate Equities,['Alexandria Real Estate Equities']
ALGN,Align Technology,['Align Technology']
ALLE,Allegion,['Allegion']
LNT,Alliant Energy,['Alliant Energy']
ALL,Allstate,"['The Allstate Corporation', 'Allstate Insurance', 'Allstate']"
GOOGL,Alphabet Inc. (Class A),"['Google Inc.', 'Big G', 'Google, Inc.', 'Google LLC', 'google.com', 'Alphabet (Class A)']"
GOOG,Alphabet Inc. (Class C),"['Google Inc.', 'Big G', 'Google, Inc.', 'Google LLC', 'google.com', 'Alphabet (Class C)']"
MO,Altria,['Altria']
AMZN,Amazon,"['Amazon.com, Inc.', 'Amazon.com', 'Amazon']"
AMCR,Amcor,"['Australian Paper Manufacturers', 'Amcor PLC', 'Amcor Pty Ltd', 'AMCOR PLC', 'Amcor']"
AEE,Ameren,"['Union Electric Company of Missouri', 'Union Electric Light and Power Company', 'AmerenUE', 'Missouri Electric Light And Power Company', 'Union Electric Company', 'Ameren']"
AEP,American Electric Power,"['AEP', 'American Electric Power Corporation', 'American Electric Power']"
AXP,American Express,"['American Express Company', 'American Express Co', 'American Express Bank', 'AmEx', 'americanexpress.com', 'AEXP', 'American Express']"
AIG,American International Group,"['AIG', 'American International Group, Inc.', 'American International']"
AMT,American Tower,['American Tower']
AWK,American Water Works,['American Water Works']
AMP,Ameriprise Financial,"['Ameriprise Financial (United States)', 'Ameriprise Financial']"
AME,Ametek,"['Crank Software', 'Ametek']"
AMGN,Amgen,"['Applied Molecular Genetics', 'Amgen Inc.', 'Amgen']"
APH,Amphenol,['Amphenol']
ADI,Analog Devices,"['Analog Devices, Inc.', 'Analog Devices']"
