Ticker,Company,Aliases
MMM,3M,"['Minnesota Mining and Manufacturing', 'Minnesota Mining & Mfg. Co.', 'Minnesota Mining and Manufacturing Company', '3M corporation', '3M Company']"
AOS,A. O. Smith,"['A. O. Smith Corporation', 'A.O. Smith', 'A.O. Smith Corporation']"
ABT,Abbott Laboratories,"['Abbott Labs', 'Abbott Laboratories, Inc.', 'Ross Laboratories', 'Abbott Pharmaceuticals', 'Abbott Nutrition', 'I-Stat', 'I-STAT', 'Abbott Molecular', 'Isomil', 'Abbot Laboratories', 'Abbott']"
ABBV,AbbVie,"['AbbVie Inc.', 'ABBV']"
ACN,Accenture,"['Accenture Global Solutions Limited (Dublin)', 'Accenture (Dublin)', 'Accenture PLC']"
ADBE,Adobe Inc.,"['Adobe Systems', 'Adobe Systems, Inc.', 'Adobe Systems Software(Beijing)Co.,Ltd.', 'ADBE', 'ADOBE INC. (San Jose, CA)', 'adobe.com', 'Adobe Inc.', 'Adobe Systems Incorporated']"
AMD,Advanced Micro Devices,['Advanced Micro Devices']
AES,AES Corporation,"['AES Corp.', 'The AES Corporation', 'AES Corp', 'AES Trust III', 'Arlington Energy', 'AES']"
AFL,Aflac,['American Family Life Assurance Company']
A,Agilent Technologies,"['Agilent Technologies, Inc.']"
APD,Air Products,[]
ABNB,Airbnb,"['Airbnb, Inc.', 'airbnb.com']"
AKAM,Akamai Technologies,"['Akamai Technologies, Inc.', 'Akamai']"
ALB,Albemarle Corporation,[]
ARE,Alexandria Real Estate Equities,[]
ALGN,Align Technology,[]
ALLE,Allegion,[]
LNT,Alliant Energy,[]
ALL,Allstate,"['The Allstate Corporation', 'Allstate Insurance']"
GOOGL,Alphabet Inc. (Class A),"['Google Inc.', 'Big G', 'Google, Inc.', 'Google LLC', 'google.com']"
GOOG,Alphabet Inc. (Class C),"['Google Inc.', 'Big G', 'Google, Inc.', 'Google LLC', 'google.com']"
MO,Altria,[]
AMZN,Amazon,"['Amazon.com, Inc.', 'Amazon.com']"
AMCR,Amcor,"['Australian Paper Manufacturers', 'Amcor PLC', 'Amcor Pty Ltd', 'AMCOR PLC']"
AEE,Ameren,"['Union Electric Company of Missouri', 'Union Electric Light and Power Company', 'AmerenUE', 'Missouri Electric Light And Power Company', 'Union Electric Company']"
AEP,American Electric Power,"['AEP', 'American Electric Power Corporation']"
AXP,American Express,"['American Express Company', 'American Express Co', 'American Express Bank', 'AmEx', 'americanexpress.com', 'AEXP']"
AIG,American International Group,"['AIG', 'American International Group, Inc.']"
AMT,American Tower,[]
AWK,American Water Works,[]
AMP,Ameriprise Financial,['Ameriprise Financial (United States)']
AME,Ametek,['Crank Software']
AMGN,Amgen,"['Applied Molecular Genetics', 'Amgen Inc.']"
APH,Amphenol,[]
ADI,Analog Devices,"['Analog Devices, Inc.']"
